startNo,startX,startY,startZ,stopno,stopX,stopY,stopZ,diameter,,,,
M1-19,128.9065648,35.13894481,1.76,M1-22,128.9065747,35.13929319,1.66,450,,,,
M1-190,128.9111278,35.13932374,2.7,SM2-43,128.9108234,35.13907507,2.33,450,,,,
M1-191,128.9125736,35.1376293,2.75,SM2-11,128.9127284,35.13750147,2.6,450,,,,
M1-19-1,128.9114582,35.13504608,1.44,M2-10-1,128.9114274,35.13467739,1.28,450,,,,
M1-198,128.9116096,35.13766068,2.39,M1-62,128.9113435,35.13723085,2.1,450,,,,
M1-199,128.911899,35.1379309,2.6,M1-198,128.9116096,35.13766068,2.39,450,,,,
M1-2,128.9116854,35.13587893,2.13,SM4-1,128.9124036,35.1358384,1.82,500,,,,
M1-20,128.9064813,35.13929845,1.56,M1-21,128.9060866,35.13932071,1.46,450,,,,
M1-20-1,128.9116402,35.13557429,1.69,M1-21-1,128.9118866,35.13556039,1.64,450,,,,
M1-21,128.9060866,35.13932071,1.46,M2-992,128.9056487,35.13934539,1.36,450,,,,
M1-2-1,128.9111366,35.13406678,1.9,SM2-3,128.9113752,35.13405331,1.29,450,,,,
M1-21-1,128.9118866,35.13556039,1.64,M2-12-1,128.9118734,35.13540212,1.6,450,,,,
M1-22,128.9065747,35.13929319,1.66,M1-23,128.9065978,35.13968581,1.26,450,,,,
M1-22-1,128.911627,35.13541602,1.64,M2-12-1,128.9118734,35.13540212,1.6,450,,,,
M1-22-2,128.9098307,35.13292976,2.13,M2-18-1,128.9098502,35.13316357,1.93,450,,,,
